age,sex,income,education,live_in_city,own_smartphone,own_tablet,sns_use,newspaper
49,0,10,5,1,1,0,1,1
49,1,1,5,1,1,0,0,1
22,1,3,5,1,1,0,1,1
19,1,2,5,1,1,0,1,0
42,0,11,5,1,1,1,1,0
42,1,7,4,1,1,1,1,0
14,1,1,3,1,1,1,1,0
13,1,1,3,1,1,1,1,0
13,1,1,3,1,1,1,1,0
46,0,11,5,1,1,0,0,1
42,1,11,5,1,1,1,0,1
15,1,1,3,1,1,0,1,0
13,0,1,3,1,1,0,1,0
54,1,5,4,1,1,0,0,0
63,0,1,4,1,1,0,1,0
81,1,3,2,1,0,0,0,0
55,0,8,4,1,1,0,0,0
54,1,1,4,1,1,0,0,0
57,0,8,4,1,1,0,1,1
56,1,1,4,1,1,0,0,0
26,0,5,5,1,1,1,1,1
54,0,9,4,1,1,0,0,1
51,1,8,4,1,1,0,1,1
45,0,8,5,1,1,0,0,0
44,1,1,5,1,1,0,1,1
16,1,1,3,1,0,0,0,0
14,1,1,3,1,0,1,1,0
58,0,9,5,1,1,0,0,1
55,1,1,4,1,1,0,0,1
27,0,1,5,1,1,1,1,0
25,1,1,5,1,1,0,1,0
47,0,10,5,1,1,0,1,1
45,1,4,5,1,1,0,1,1
19,0,1,5,1,1,0,1,1
71,0,5,3,1,1,0,0,1
40,1,1,5,1,1,0,0,0
64,1,6,4,1,1,0,0,0
19,0,1,5,1,1,0,1,0
44,0,8,5,1,1,0,0,1
42,1,6,5,1,1,0,0,1
46,0,6,4,1,1,0,0,1
38,1,6,4,1,1,0,0,0
41,0,7,5,1,1,0,0,1
39,1,1,5,1,1,0,0,0
87,1,1,2,1,0,0,0,0
41,0,8,5,1,1,0,0,1
37,1,1,4,1,1,0,0,1
47,0,8,5,1,1,1,1,1
44,1,5,4,1,1,0,0,1
46,0,8,5,1,1,0,1,1
48,1,1,5,1,1,0,0,1
44,0,8,5,1,1,0,0,1
43,1,6,5,1,1,0,0,1
65,0,8,5,1,1,0,1,1
58,1,5,4,1,1,0,0,1
55,0,8,5,1,1,0,0,1
54,1,1,5,1,1,0,0,1
45,0,8,4,1,1,0,0,1
48,1,4,4,1,1,0,0,1
51,0,8,5,1,1,0,0,1
49,1,1,4,1,1,0,0,1
46,0,7,4,1,1,0,0,1
46,1,1,4,1,1,0,0,1
45,0,8,5,1,1,0,0,1
43,1,1,5,1,1,0,0,1
57,0,8,5,1,1,0,0,1
51,1,1,5,1,1,0,0,1
59,0,9,5,1,1,0,0,1
53,1,1,4,1,1,0,0,1
